,Gestionpe,peru21noticias,tromepe,larepublica_pe,diarioojo,diariocorreo,elcomercio_peru,ExpresoPeru,DiarioElPeruano,elbuho_pe,larazon_pe,ensustrece
raw_tweet_count,8169.0,7571.0,7186.0,7064.0,5063.0,4841.0,4529.0,2599.0,2305.0,899.0,879.0,130.0
raw_referenced_tweet_count,30.0,244.0,3.0,4065.0,,4.0,258.0,,68.0,395.0,,24.0
raw_possibly_sensitive_count,,2.0,1.0,,2.0,1.0,3.0,,,1.0,,
raw_retweet_count,11985.0,61410.0,8924.0,137796.0,2800.0,15481.0,18388.0,90404.0,12838.0,11472.0,2477.0,21269.0
raw_reply_count,11074.0,45983.0,19886.0,28637.0,7616.0,14963.0,10625.0,82260.0,10078.0,828.0,458.0,5180.0
raw_like_count,46076.0,197619.0,56303.0,142432.0,20775.0,47437.0,40572.0,299029.0,34004.0,9241.0,4666.0,44677.0
raw_quote_count,1717.0,6378.0,1537.0,5968.0,624.0,1983.0,1616.0,9158.0,1135.0,346.0,131.0,918.0
raw_impression_count,3312134.0,3880890.0,1606484.0,5505507.0,405654.0,1201940.0,2661255.0,3780412.0,1696783.0,406532.0,39958.0,761751.0
raw_reference_to_tweets_ratio,0.003672420124862284,0.03222823933430194,0.00041747843028110213,0.5754530011325029,,0.0008262755629002272,0.05696621770810333,,0.02950108459869848,0.43937708565072303,,0.18461538461538463
raw_sensitive_to_tweets_ratio,,0.0002641658961828028,0.00013915947676036738,,0.00039502271380604387,0.0002065688907250568,0.0006623978803267829,,,0.0011123470522803114,,
raw_retweet_to_tweets_ratio,1.4671318398824826,8.11121384229296,1.2418591706095186,19.506795016987542,0.5530317993284614,3.1978929973146046,4.060057407816295,34.784147749134284,5.5696312364425165,12.760845383759733,2.817974971558589,163.6076923076923
raw_reply_to_tweets_ratio,1.3556126820908312,6.073570202086911,2.767325354856666,4.053935447338619,1.504246494173415,3.090890311919025,2.345992492824023,31.650634859561368,4.372234273318872,0.9210233592880979,0.5210466439135382,39.84615384615385
raw_like_to_tweets_ratio,5.64034765577182,26.102100118874652,7.835096020038964,20.16308040770102,4.10329843966028,9.79900846932452,8.958268933539413,115.05540592535591,14.752277657266811,10.279199110122358,5.308304891922639,343.66923076923075
raw_quote_to_tweets_ratio,0.21018484514628474,0.8424250429269581,0.21388811578068467,0.8448471121177803,0.12324708670748569,0.40962611030778767,0.3568116582026937,3.523662947287418,0.4924078091106291,0.38487208008898777,0.149032992036405,7.061538461538461
clean_tweet_count,6084.0,5559.0,5167.0,5072.0,3356.0,3175.0,2890.0,1454.0,1258.0,414.0,408.0,87.0
clean_referenced_tweet_count,26.0,185.0,2.0,2962.0,,2.0,170.0,,40.0,190.0,,16.0
clean_possibly_sensitive_count,,,,,1.0,1.0,1.0,,,,,
clean_retweet_count,8731.0,42802.0,5951.0,98463.0,1725.0,9523.0,11329.0,44466.0,7072.0,4313.0,286.0,10636.0
clean_reply_count,8151.0,31119.0,12112.0,18148.0,5255.0,9412.0,5781.0,44286.0,6043.0,321.0,60.0,2575.0
clean_like_count,33279.0,136417.0,35824.0,92112.0,13681.0,29259.0,23816.0,147946.0,20221.0,2537.0,601.0,24178.0
clean_quote_count,1286.0,4684.0,1104.0,3739.0,423.0,1297.0,1027.0,4771.0,600.0,96.0,30.0,461.0
clean_impression_count,2233916.0,2653114.0,963999.0,3115049.0,212832.0,635397.0,1515831.0,1521332.0,933288.0,93718.0,11159.0,327753.0
clean_to_raw_tweet_ratio,0.7447668013220713,0.7342491084401004,0.7190370164208183,0.7180067950169875,0.6628481137665416,0.6558562280520553,0.6381099580481342,0.5594459407464409,0.545770065075922,0.46051167964404893,0.4641638225255973,0.6692307692307692
clean_to_raw_impression_ratio,0.6744642577866716,0.6836354547539353,0.600067601046758,0.5658060193184751,0.5246638761111686,0.5286428607085212,0.5695925418646466,0.40242492088163934,0.5500337992542358,0.2305304379483042,0.2792682316432254,0.43026264488001986
clean_reference_to_tweets_ratio,0.004273504273504274,0.0332793667925886,0.0003870718018192375,0.5839905362776026,,0.0006299212598425197,0.058823529411764705,,0.03179650238473768,0.45893719806763283,,0.1839080459770115
clean_sensitive_to_tweets_ratio,,,,,0.0002979737783075089,0.00031496062992125983,0.00034602076124567473,,,,,
clean_retweet_to_tweets_ratio,1.4350756081525313,7.699586256520957,1.1517321463131411,19.413052050473187,0.5140047675804529,2.9993700787401574,3.920069204152249,30.5818431911967,5.621621621621622,10.417874396135266,0.7009803921568627,122.25287356321839
clean_reply_to_tweets_ratio,1.3397435897435896,5.5979492714517,2.344106831817302,3.57807570977918,1.5658522050059596,2.9644094488188975,2.0003460207612456,30.458046767537827,4.8036565977742445,0.7753623188405797,0.14705882352941177,29.597701149425287
clean_like_to_tweets_ratio,5.469921104536489,24.539845295916532,6.933230114186181,18.160883280757098,4.07657926102503,9.215433070866142,8.240830449826989,101.75103163686383,16.073926868044516,6.128019323671498,1.4730392156862746,277.9080459770115
clean_quote_to_tweets_ratio,0.2113740959894806,0.8425975894945134,0.21366363460421908,0.7371845425867508,0.1260429082240763,0.408503937007874,0.35536332179930796,3.281292984869326,0.4769475357710652,0.2318840579710145,0.07352941176470588,5.2988505747126435
