,raw_tweet_count,raw_referenced_tweet_count,raw_possibly_sensitive_count,raw_retweet_count,raw_reply_count,raw_like_count,raw_quote_count,impression_count,raw_reference_to_tweets_ratio,raw_sensitive_to_tweets_ratio,raw_retweet_to_tweets_ratio,raw_reply_to_tweets_ratio,raw_like_to_tweets_ratio,raw_quote_to_tweets_ratio
Gestionpe,8169,30.0,,11985,11074,46076,1717,3312134.0,0.003672420124862284,,1.4671318398824826,1.3556126820908312,5.64034765577182,0.21018484514628474
peru21noticias,7571,244.0,2.0,61410,45983,197619,6378,3880890.0,0.03222823933430194,0.0002641658961828028,8.11121384229296,6.073570202086911,26.102100118874652,0.8424250429269581
tromepe,7186,3.0,1.0,8924,19886,56303,1537,1606484.0,0.00041747843028110213,0.00013915947676036738,1.2418591706095186,2.767325354856666,7.835096020038964,0.21388811578068467
larepublica_pe,7064,4065.0,,137796,28637,142432,5968,5505507.0,0.5754530011325029,,19.506795016987542,4.053935447338619,20.16308040770102,0.8448471121177803
diarioojo,5063,,2.0,2800,7616,20775,624,405654.0,,0.00039502271380604387,0.5530317993284614,1.504246494173415,4.10329843966028,0.12324708670748569
diariocorreo,4841,4.0,1.0,15481,14963,47437,1983,1201940.0,0.0008262755629002272,0.0002065688907250568,3.1978929973146046,3.090890311919025,9.79900846932452,0.40962611030778767
elcomercio_peru,4529,258.0,3.0,18388,10625,40572,1616,2661255.0,0.05696621770810333,0.0006623978803267829,4.060057407816295,2.345992492824023,8.958268933539413,0.3568116582026937
ExpresoPeru,2599,,,90404,82260,299029,9158,3780412.0,,,34.784147749134284,31.650634859561368,115.05540592535591,3.523662947287418
DiarioElPeruano,2305,68.0,,12838,10078,34004,1135,1696783.0,0.02950108459869848,,5.5696312364425165,4.372234273318872,14.752277657266811,0.4924078091106291
elbuho_pe,899,395.0,1.0,11472,828,9241,346,406532.0,0.43937708565072303,0.0011123470522803114,12.760845383759733,0.9210233592880979,10.279199110122358,0.38487208008898777
larazon_pe,879,,,2477,458,4666,131,39958.0,,,2.817974971558589,0.5210466439135382,5.308304891922639,0.149032992036405
ensustrece,130,24.0,,21269,5180,44677,918,761751.0,0.18461538461538463,,163.6076923076923,39.84615384615385,343.66923076923075,7.061538461538461
