,newspaper,year,week,stat,metric,value,year_week
0,DiarioElPeruano,2022,33,count,like_count,229.0,2022w33
1,DiarioElPeruano,2022,33,max,like_count,80.0,2022w33
2,DiarioElPeruano,2022,33,mean,like_count,12.462882096069869,2022w33
3,DiarioElPeruano,2022,33,min,like_count,0.0,2022w33
4,DiarioElPeruano,2022,33,ratio,like_count,12.462882096069869,2022w33
5,DiarioElPeruano,2022,33,std,like_count,13.393330118274934,2022w33
6,DiarioElPeruano,2022,33,sum,like_count,2854.0,2022w33
7,DiarioElPeruano,2022,34,count,like_count,200.0,2022w34
8,DiarioElPeruano,2022,34,max,like_count,77.0,2022w34
9,DiarioElPeruano,2022,34,mean,like_count,11.23,2022w34
10,DiarioElPeruano,2022,34,min,like_count,0.0,2022w34
11,DiarioElPeruano,2022,34,ratio,like_count,11.23,2022w34
12,DiarioElPeruano,2022,34,std,like_count,10.974025980976892,2022w34
13,DiarioElPeruano,2022,34,sum,like_count,2246.0,2022w34
14,DiarioElPeruano,2022,39,count,like_count,226.0,2022w39
15,DiarioElPeruano,2022,39,max,like_count,132.0,2022w39
16,DiarioElPeruano,2022,39,mean,like_count,8.761061946902656,2022w39
17,DiarioElPeruano,2022,39,min,like_count,0.0,2022w39
18,DiarioElPeruano,2022,39,ratio,like_count,8.761061946902656,2022w39
19,DiarioElPeruano,2022,39,std,like_count,11.63769685979962,2022w39
20,DiarioElPeruano,2022,39,sum,like_count,1980.0,2022w39
21,DiarioElPeruano,2022,44,count,like_count,186.0,2022w44
22,DiarioElPeruano,2022,44,max,like_count,45.0,2022w44
23,DiarioElPeruano,2022,44,mean,like_count,7.758064516129032,2022w44
24,DiarioElPeruano,2022,44,min,like_count,0.0,2022w44
25,DiarioElPeruano,2022,44,ratio,like_count,7.758064516129032,2022w44
26,DiarioElPeruano,2022,44,std,like_count,6.95938522573219,2022w44
27,DiarioElPeruano,2022,44,sum,like_count,1443.0,2022w44
28,DiarioElPeruano,2022,49,count,like_count,201.0,2022w49
29,DiarioElPeruano,2022,49,max,like_count,239.0,2022w49
30,DiarioElPeruano,2022,49,mean,like_count,14.651741293532337,2022w49
31,DiarioElPeruano,2022,49,min,like_count,0.0,2022w49
32,DiarioElPeruano,2022,49,ratio,like_count,14.651741293532337,2022w49
33,DiarioElPeruano,2022,49,std,like_count,21.02922037196662,2022w49
34,DiarioElPeruano,2022,49,sum,like_count,2945.0,2022w49
35,DiarioElPeruano,2023,2,count,like_count,216.0,2023w2
36,DiarioElPeruano,2023,2,max,like_count,2873.0,2023w2
37,DiarioElPeruano,2023,2,mean,like_count,40.523148148148145,2023w2
38,DiarioElPeruano,2023,2,min,like_count,0.0,2023w2
39,DiarioElPeruano,2023,2,ratio,like_count,40.523148148148145,2023w2
40,DiarioElPeruano,2023,2,std,like_count,229.63118948130983,2023w2
41,DiarioElPeruano,2023,2,sum,like_count,8753.0,2023w2
42,ExpresoPeru,2022,33,count,like_count,287.0,2022w33
43,ExpresoPeru,2022,33,max,like_count,1414.0,2022w33
44,ExpresoPeru,2022,33,mean,like_count,107.58885017421603,2022w33
45,ExpresoPeru,2022,33,min,like_count,0.0,2022w33
46,ExpresoPeru,2022,33,ratio,like_count,107.58885017421603,2022w33
47,ExpresoPeru,2022,33,std,like_count,226.06762621724158,2022w33
48,ExpresoPeru,2022,33,sum,like_count,30878.0,2022w33
49,ExpresoPeru,2022,34,count,like_count,208.0,2022w34
50,ExpresoPeru,2022,34,max,like_count,1811.0,2022w34
51,ExpresoPeru,2022,34,mean,like_count,128.72115384615384,2022w34
52,ExpresoPeru,2022,34,min,like_count,0.0,2022w34
53,ExpresoPeru,2022,34,ratio,like_count,128.72115384615384,2022w34
54,ExpresoPeru,2022,34,std,like_count,296.57829515023127,2022w34
55,ExpresoPeru,2022,34,sum,like_count,26774.0,2022w34
