,newspaper,year,week,word,stat,metric,value,year_week,hot_topics
0,DiarioElPeruano,2022,33,agosto,count,like_count,8.0,2022w33,
1,DiarioElPeruano,2022,33,agosto,max,like_count,24.0,2022w33,
2,DiarioElPeruano,2022,33,agosto,mean,like_count,8.5,2022w33,
3,DiarioElPeruano,2022,33,agosto,min,like_count,2.0,2022w33,
4,DiarioElPeruano,2022,33,agosto,ratio,like_count,8.5,2022w33,
5,DiarioElPeruano,2022,33,agosto,std,like_count,7.406560798180412,2022w33,
6,DiarioElPeruano,2022,33,agosto,sum,like_count,68.0,2022w33,
7,DiarioElPeruano,2022,33,atención,count,like_count,12.0,2022w33,
8,DiarioElPeruano,2022,33,atención,max,like_count,31.0,2022w33,
9,DiarioElPeruano,2022,33,atención,mean,like_count,12.666666666666666,2022w33,
10,DiarioElPeruano,2022,33,atención,min,like_count,4.0,2022w33,
11,DiarioElPeruano,2022,33,atención,ratio,like_count,12.666666666666666,2022w33,
12,DiarioElPeruano,2022,33,atención,std,like_count,9.17836718825436,2022w33,
13,DiarioElPeruano,2022,33,atención,sum,like_count,152.0,2022w33,
14,DiarioElPeruano,2022,33,año,count,like_count,14.0,2022w33,
15,DiarioElPeruano,2022,33,año,max,like_count,35.0,2022w33,
16,DiarioElPeruano,2022,33,año,mean,like_count,11.142857142857142,2022w33,
17,DiarioElPeruano,2022,33,año,min,like_count,2.0,2022w33,
18,DiarioElPeruano,2022,33,año,ratio,like_count,11.142857142857142,2022w33,
19,DiarioElPeruano,2022,33,año,std,like_count,9.445040561521756,2022w33,
20,DiarioElPeruano,2022,33,año,sum,like_count,156.0,2022w33,
21,DiarioElPeruano,2022,33,años,count,like_count,11.0,2022w33,
22,DiarioElPeruano,2022,33,años,max,like_count,51.0,2022w33,
23,DiarioElPeruano,2022,33,años,mean,like_count,13.727272727272727,2022w33,
24,DiarioElPeruano,2022,33,años,min,like_count,3.0,2022w33,
25,DiarioElPeruano,2022,33,años,ratio,like_count,13.727272727272727,2022w33,
26,DiarioElPeruano,2022,33,años,std,like_count,14.022060541096726,2022w33,
27,DiarioElPeruano,2022,33,años,sum,like_count,151.0,2022w33,
28,DiarioElPeruano,2022,33,castillo,count,like_count,22.0,2022w33,castillo
29,DiarioElPeruano,2022,33,castillo,max,like_count,68.0,2022w33,castillo
30,DiarioElPeruano,2022,33,castillo,mean,like_count,22.954545454545453,2022w33,castillo
31,DiarioElPeruano,2022,33,castillo,min,like_count,11.0,2022w33,castillo
32,DiarioElPeruano,2022,33,castillo,ratio,like_count,22.954545454545453,2022w33,castillo
33,DiarioElPeruano,2022,33,castillo,std,like_count,13.379007268771307,2022w33,castillo
34,DiarioElPeruano,2022,33,castillo,sum,like_count,505.0,2022w33,castillo
35,DiarioElPeruano,2022,33,congreso,count,like_count,11.0,2022w33,congreso
36,DiarioElPeruano,2022,33,congreso,max,like_count,75.0,2022w33,congreso
37,DiarioElPeruano,2022,33,congreso,mean,like_count,20.454545454545453,2022w33,congreso
38,DiarioElPeruano,2022,33,congreso,min,like_count,3.0,2022w33,congreso
39,DiarioElPeruano,2022,33,congreso,ratio,like_count,20.454545454545453,2022w33,congreso
40,DiarioElPeruano,2022,33,congreso,std,like_count,24.398211558897653,2022w33,congreso
41,DiarioElPeruano,2022,33,congreso,sum,like_count,225.0,2022w33,congreso
42,DiarioElPeruano,2022,33,consejo,count,like_count,9.0,2022w33,
43,DiarioElPeruano,2022,33,consejo,max,like_count,19.0,2022w33,
44,DiarioElPeruano,2022,33,consejo,mean,like_count,9.11111111111111,2022w33,
45,DiarioElPeruano,2022,33,consejo,min,like_count,3.0,2022w33,
46,DiarioElPeruano,2022,33,consejo,ratio,like_count,9.11111111111111,2022w33,
47,DiarioElPeruano,2022,33,consejo,std,like_count,5.710613899670605,2022w33,
48,DiarioElPeruano,2022,33,consejo,sum,like_count,82.0,2022w33,
49,DiarioElPeruano,2022,33,decreto,count,like_count,8.0,2022w33,
50,DiarioElPeruano,2022,33,decreto,max,like_count,9.0,2022w33,
51,DiarioElPeruano,2022,33,decreto,mean,like_count,5.375,2022w33,
52,DiarioElPeruano,2022,33,decreto,min,like_count,3.0,2022w33,
53,DiarioElPeruano,2022,33,decreto,ratio,like_count,5.375,2022w33,
54,DiarioElPeruano,2022,33,decreto,std,like_count,1.9226098333849673,2022w33,
55,DiarioElPeruano,2022,33,decreto,sum,like_count,43.0,2022w33,
56,DiarioElPeruano,2022,33,ejecutivo,count,like_count,9.0,2022w33,
57,DiarioElPeruano,2022,33,ejecutivo,max,like_count,51.0,2022w33,
58,DiarioElPeruano,2022,33,ejecutivo,mean,like_count,17.11111111111111,2022w33,
59,DiarioElPeruano,2022,33,ejecutivo,min,like_count,1.0,2022w33,
60,DiarioElPeruano,2022,33,ejecutivo,ratio,like_count,17.11111111111111,2022w33,
61,DiarioElPeruano,2022,33,ejecutivo,std,like_count,16.127960537870592,2022w33,
62,DiarioElPeruano,2022,33,ejecutivo,sum,like_count,154.0,2022w33,
63,DiarioElPeruano,2022,33,gobierno,count,like_count,20.0,2022w33,
64,DiarioElPeruano,2022,33,gobierno,max,like_count,68.0,2022w33,
65,DiarioElPeruano,2022,33,gobierno,mean,like_count,20.4,2022w33,
66,DiarioElPeruano,2022,33,gobierno,min,like_count,4.0,2022w33,
67,DiarioElPeruano,2022,33,gobierno,ratio,like_count,20.4,2022w33,
68,DiarioElPeruano,2022,33,gobierno,std,like_count,15.353381249401506,2022w33,
69,DiarioElPeruano,2022,33,gobierno,sum,like_count,408.0,2022w33,
70,DiarioElPeruano,2022,33,josé,count,like_count,10.0,2022w33,
71,DiarioElPeruano,2022,33,josé,max,like_count,37.0,2022w33,
72,DiarioElPeruano,2022,33,josé,mean,like_count,17.4,2022w33,
73,DiarioElPeruano,2022,33,josé,min,like_count,5.0,2022w33,
74,DiarioElPeruano,2022,33,josé,ratio,like_count,17.4,2022w33,
75,DiarioElPeruano,2022,33,josé,std,like_count,10.30857248442609,2022w33,
76,DiarioElPeruano,2022,33,josé,sum,like_count,174.0,2022w33,
77,DiarioElPeruano,2022,33,ley,count,like_count,10.0,2022w33,
78,DiarioElPeruano,2022,33,ley,max,like_count,51.0,2022w33,
79,DiarioElPeruano,2022,33,ley,mean,like_count,18.6,2022w33,
80,DiarioElPeruano,2022,33,ley,min,like_count,3.0,2022w33,
81,DiarioElPeruano,2022,33,ley,ratio,like_count,18.6,2022w33,
82,DiarioElPeruano,2022,33,ley,std,like_count,14.408330923462302,2022w33,
83,DiarioElPeruano,2022,33,ley,sum,like_count,186.0,2022w33,
84,DiarioElPeruano,2022,33,lima,count,like_count,15.0,2022w33,
85,DiarioElPeruano,2022,33,lima,max,like_count,24.0,2022w33,
86,DiarioElPeruano,2022,33,lima,mean,like_count,9.533333333333333,2022w33,
87,DiarioElPeruano,2022,33,lima,min,like_count,4.0,2022w33,
88,DiarioElPeruano,2022,33,lima,ratio,like_count,9.533333333333333,2022w33,
89,DiarioElPeruano,2022,33,lima,std,like_count,5.680375574437544,2022w33,
90,DiarioElPeruano,2022,33,lima,sum,like_count,143.0,2022w33,
91,DiarioElPeruano,2022,33,millones,count,like_count,14.0,2022w33,
92,DiarioElPeruano,2022,33,millones,max,like_count,35.0,2022w33,
93,DiarioElPeruano,2022,33,millones,mean,like_count,13.0,2022w33,
94,DiarioElPeruano,2022,33,millones,min,like_count,2.0,2022w33,
95,DiarioElPeruano,2022,33,millones,ratio,like_count,13.0,2022w33,
96,DiarioElPeruano,2022,33,millones,std,like_count,10.05370195882706,2022w33,
97,DiarioElPeruano,2022,33,millones,sum,like_count,182.0,2022w33,
98,DiarioElPeruano,2022,33,ministerio,count,like_count,9.0,2022w33,
99,DiarioElPeruano,2022,33,ministerio,max,like_count,71.0,2022w33,
100,DiarioElPeruano,2022,33,ministerio,mean,like_count,17.333333333333332,2022w33,
101,DiarioElPeruano,2022,33,ministerio,min,like_count,2.0,2022w33,
102,DiarioElPeruano,2022,33,ministerio,ratio,like_count,17.333333333333332,2022w33,
103,DiarioElPeruano,2022,33,ministerio,std,like_count,21.742814905158898,2022w33,
104,DiarioElPeruano,2022,33,ministerio,sum,like_count,156.0,2022w33,
105,DiarioElPeruano,2022,33,ministro,count,like_count,11.0,2022w33,
106,DiarioElPeruano,2022,33,ministro,max,like_count,37.0,2022w33,
107,DiarioElPeruano,2022,33,ministro,mean,like_count,15.454545454545455,2022w33,
108,DiarioElPeruano,2022,33,ministro,min,like_count,7.0,2022w33,
109,DiarioElPeruano,2022,33,ministro,ratio,like_count,15.454545454545455,2022w33,
110,DiarioElPeruano,2022,33,ministro,std,like_count,9.147279774486362,2022w33,
111,DiarioElPeruano,2022,33,ministro,sum,like_count,170.0,2022w33,
112,DiarioElPeruano,2022,33,nacional,count,like_count,29.0,2022w33,
113,DiarioElPeruano,2022,33,nacional,max,like_count,33.0,2022w33,
114,DiarioElPeruano,2022,33,nacional,mean,like_count,9.620689655172415,2022w33,
115,DiarioElPeruano,2022,33,nacional,min,like_count,1.0,2022w33,
116,DiarioElPeruano,2022,33,nacional,ratio,like_count,9.620689655172415,2022w33,
117,DiarioElPeruano,2022,33,nacional,std,like_count,8.01522565899002,2022w33,
118,DiarioElPeruano,2022,33,nacional,sum,like_count,279.0,2022w33,
119,DiarioElPeruano,2022,33,normaslegales,count,like_count,12.0,2022w33,
120,DiarioElPeruano,2022,33,normaslegales,max,like_count,12.0,2022w33,
121,DiarioElPeruano,2022,33,normaslegales,mean,like_count,5.0,2022w33,
122,DiarioElPeruano,2022,33,normaslegales,min,like_count,1.0,2022w33,
123,DiarioElPeruano,2022,33,normaslegales,ratio,like_count,5.0,2022w33,
124,DiarioElPeruano,2022,33,normaslegales,std,like_count,2.76339711883103,2022w33,
125,DiarioElPeruano,2022,33,normaslegales,sum,like_count,60.0,2022w33,
126,DiarioElPeruano,2022,33,palacio,count,like_count,8.0,2022w33,
127,DiarioElPeruano,2022,33,palacio,max,like_count,44.0,2022w33,
128,DiarioElPeruano,2022,33,palacio,mean,like_count,19.5,2022w33,
129,DiarioElPeruano,2022,33,palacio,min,like_count,5.0,2022w33,
130,DiarioElPeruano,2022,33,palacio,ratio,like_count,19.5,2022w33,
131,DiarioElPeruano,2022,33,palacio,std,like_count,12.917319491951218,2022w33,
132,DiarioElPeruano,2022,33,palacio,sum,like_count,156.0,2022w33,
133,DiarioElPeruano,2022,33,país,count,like_count,24.0,2022w33,país
134,DiarioElPeruano,2022,33,país,max,like_count,51.0,2022w33,país
135,DiarioElPeruano,2022,33,país,mean,like_count,13.208333333333334,2022w33,país
