,newspaper,unique_words,year,week,tweet_number,word_tweet_ratio
0,elcomercio_peru,2128,2022,34,457,4.656455142231947
1,larepublica_pe,4841,2022,34,827,5.853688029020557
2,peru21noticias,4087,2022,34,961,4.252861602497399
3,tromepe,3290,2022,34,807,4.076827757125155
4,Gestionpe,2187,2022,34,848,2.579009433962264
5,diariocorreo,2046,2022,34,474,4.3164556962025316
6,ExpresoPeru,956,2022,34,208,4.596153846153846
7,diarioojo,2466,2022,34,555,4.443243243243243
8,DiarioElPeruano,1745,2022,34,200,8.725
9,larazon_pe,192,2022,34,60,3.2
10,elbuho_pe,474,2022,34,58,8.172413793103448
11,ensustrece,342,2022,34,24,14.25
12,elcomercio_peru,2624,2022,33,584,4.493150684931507
13,larepublica_pe,6011,2022,33,1117,5.381378692927484
14,peru21noticias,5177,2022,33,1287,4.022533022533023
15,tromepe,4204,2022,33,1095,3.839269406392694
16,Gestionpe,2941,2022,33,1509,1.9489728296885354
17,diariocorreo,3022,2022,33,793,3.810844892812106
18,ExpresoPeru,1189,2022,33,287,4.142857142857143
19,diarioojo,3245,2022,33,793,4.092055485498109
20,DiarioElPeruano,1883,2022,33,229,8.222707423580786
21,larazon_pe,456,2022,33,106,4.30188679245283
22,elcomercio_peru,2295,2022,39,512,4.482421875
23,larepublica_pe,4681,2022,39,834,5.612709832134293
24,peru21noticias,4190,2022,39,970,4.319587628865979
25,tromepe,3684,2022,39,956,3.8535564853556483
26,Gestionpe,2655,2022,39,1199,2.2143452877397833
27,diariocorreo,2541,2022,39,614,4.138436482084691
28,ExpresoPeru,1145,2022,39,259,4.420849420849421
29,diarioojo,2411,2022,39,550,4.383636363636364
30,DiarioElPeruano,1811,2022,39,226,8.013274336283185
31,larazon_pe,362,2022,39,58,6.241379310344827
32,elbuho_pe,535,2022,39,97,5.515463917525773
33,ensustrece,215,2022,39,19,11.31578947368421
34,elcomercio_peru,2058,2022,44,433,4.752886836027714
35,larepublica_pe,4298,2022,44,691,6.219971056439942
36,peru21noticias,3532,2022,44,752,4.696808510638298
37,tromepe,3179,2022,44,759,4.188405797101449
38,Gestionpe,2167,2022,44,800,2.70875
39,diariocorreo,2055,2022,44,457,4.49671772428884
40,ExpresoPeru,936,2022,44,195,4.8
41,diarioojo,2447,2022,44,555,4.409009009009009
42,DiarioElPeruano,1729,2022,44,186,9.295698924731182
43,larazon_pe,460,2022,44,57,8.070175438596491
44,elbuho_pe,576,2022,44,77,7.48051948051948
45,ensustrece,59,2022,44,6,9.833333333333334
46,elcomercio_peru,2042,2022,49,442,4.619909502262443
47,larepublica_pe,4450,2022,49,924,4.816017316017316
48,peru21noticias,4022,2022,49,1064,3.780075187969925
49,tromepe,3502,2022,49,922,3.7982646420824295
50,Gestionpe,2119,2022,49,809,2.619283065512979
51,diariocorreo,2077,2022,49,529,3.9262759924385633
52,ExpresoPeru,1066,2022,49,250,4.264
53,diarioojo,2433,2022,49,574,4.2386759581881535
54,DiarioElPeruano,1623,2022,49,201,8.074626865671641
55,larazon_pe,544,2022,49,70,7.771428571428571
56,elbuho_pe,518,2022,49,77,6.7272727272727275
57,ensustrece,261,2022,49,22,11.863636363636363
58,elcomercio_peru,2142,2023,2,462,4.636363636363637
59,larepublica_pe,3814,2023,2,679,5.617083946980854
60,peru21noticias,2513,2023,2,525,4.786666666666667
61,tromepe,2685,2023,2,628,4.275477707006369
62,Gestionpe,2421,2023,2,919,2.634385201305767
63,diariocorreo,1423,2023,2,308,4.62012987012987
64,ExpresoPeru,1105,2023,2,255,4.333333333333333
65,diarioojo,1490,2023,2,329,4.52887537993921
66,DiarioElPeruano,1700,2023,2,216,7.87037037037037
67,larazon_pe,402,2023,2,57,7.052631578947368
68,elbuho_pe,612,2023,2,105,5.828571428571428
69,ensustrece,186,2023,2,16,11.625
